uid,Gender,Income,Goal_health,Goal_incex,Goal_indliving,Goal_self,Goal_food,Goal_sports,Goal_memory,Goal_sickness,Goal_religion,Goal_travel,Goal_polit,Goal_culture,Goal_hobby,Goal_commun,Goal_economy,Goal_work,Goal_familiy,Goal_relation,Goal_others,Health,Functioning,QoL,Happiness,Mother_tongue,Pet,Exercise,Hobby,Grandchildren,Education
413,1,2,6,6,6,5,5,6,5,3,1,5,4,5,4,3,3,3,3,4,2,4,4,4,3,1,0,1,1,0,1
416,2,1,6,4,5,4,4,2,5,5,3,4,4,3,4,4,4,4,4,6,6,3,3,4,4,1,0,0,1,1,1
418,2,2,6,4,6,4,5,6,2,0,1,3,5,5,5,4,4,0,6,6,4,5,5,5,5, ,0,1,1,1,2
420,2,2,6,6,6,5,6,5,6,3,4,5,2,6,6,6,6,6,6,6,6, , , , , , , , , , 
421,1,1,5,5,6,3,4,3,0,0,0,2,0,0,3,0,2,6,6,5,6,4,4,3,3,1,1,0,0,0,2
422,1,2,6,6,5,5,4,4,4,3,3,6,4,5,4,3,4,5,2,5,4,4,5,5,5,1,0,1,0,0,2
423,2,2,6,6,6,6,6,6,6,6,5,2,5,6,6,5,5,1,6,6,6,5,5,5,5,1,0,1,1,1,3
424,1,1,6,6,6,4,4,6,4,4,3,5,2,2,2,2,5,0,5,4,4,3,3,4,3,1,0,1,0,0,1
425,2,1,6,6,6,0,6,5,6,6,0,0,3,2,6,6,6,0,0,6,6,3,3,3,4,1,0,1,1,0,1
427,2,1,5,5,6,5,4,3,6,5,1,3,2,4,4,3,3,0,5,5,5,1,1,3,4,1,0,0,1,1,2
429,2,1,6,6,6,3,1,5,6,6,0,1,0,1,6,2,1,0,3,5,5,4,5,4,5,1,1,1,0,0,1
430,1,2,6,5,6,2,2,6,3,2,0,4,6,4,3,2,2,6,0,3,4,5,5,4,4,1, ,1,1,0,3
431,2,2,5,5,6,4,4,5,5,1,3,4,3,4,5,5,5,1,5,6,6, , , , , , , , , , 
433,1,2,5,6,6,5,3,5,5,2,0,3,6,6,6,5,2,5,6,6,6, , , , , , , , , , 
436,2,1,6,5,5, , , ,5,5, ,0, ,0,4,4,3,0,5,5, , , , , , , , , , , 
437,2,2,6,6, ,4,4,5,4,2,2,4,3,3,1,3,4,6,2,4,5, , , , , , , , , , 
438,2,2,5,6,6,4,3,6,5,6,6,2,3,6,6,6,5,3,6,6,6,4,4,4,4,1,0,1,1,1,3
440,2,2,6,6,6,5,4,0,6,4,3,3,5,5,3,3,4,3,4,4,4, , , , , , , , , , 
441,2,2,6,5,6,3,1,5,4,1,1,3,2,6,6,3,3,0,4,5,4,5,5,5,5,1,0,1,1,1,3
442,1,1,3,1,6,4,4,1,2,4,0,6,4,4,2,0,5,0,2,6,4,4,4,5,4,1,0,0,0,1,3
443,1,1,4,4,4,4,4,4,4,4,2,4,5,4,5,4,4,3,5,5,5,3,3,3,3,1,0,0,0,0,1
445,2,1,6,4,6,5,6,5,6,6,1,5,1,4,4,4,5,1,1,6,5, , , , , , , , , , 
